Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Ca,66.2,Pb,33.8,,,,,,,,,,,,,,,Therm.decomp.,840,0.65,0.08,8.1,1.0,0.20,100.0,13.0,,13.0,36.0,49.0,6.4,,,,,
,Pb,8.0,Ca,61.3,Si,30.70,,,,,,,,,,,,,Impregnation,740,0.66,0.08,8.3,1.0,9.90,94.0,9.0,,9.0,36.0,45.0,4.1,,,,,
,Pb,3.8,Ca,48.1,,,,,S,48.1,,,,,,,,,Impregnation,777.0,0.64,0.08,8.0,1.0,30.70,99.0,12.0,,26.0,29.0,55.0,6.6,,,,,
,Pb,82.0,,,,,,,S,18.0,,,,,,,,,Precipitation,754,0.64,0.08,8.0,1.0,49.50,63.0,8.0,,32.0,23.0,55.0,4.4,,,,,
,Pb,77.0,,,,,,,P,23.0,,,,,,,,,Therm.decomp.,781,0.65,0.08,8.1,1.0,19.90,79.0,5.0,,12.0,29.0,41.0,2.1,,,,,
,Pb,7.5,Ca,51.0,,,,,S,7.5,P,34.0,,,,,,,Therm.decomp.,747,0.67,0.07,9.6,1.0,2.40,89.0,12.0,,25.0,32.0,57.0,6.8,,,,,
,Pb,9.0,Ca,41.0,,,,,S,50.0,,,,,,,,,Impregnation,741,0.67,0.07,9.6,1.0,11.60,33.0,4.0,,23.0,37.0,60.0,2.4,,,,,
,Pb,1.0,Ca,49.0,,,,,S,50.0,,,,,,,,,Impregnation,746,0.65,0.08,8.1,1.0,14.20,100.0,6.0,,23.0,48.0,71.0,4.3,,,,,
,Sr,4.6,Ca,95.4,,,,,,,,,,,,,,,Therm.decomp.,847,0.66,0.08,8.3,1.0,0.84,100.0,13.0,,16.0,37.0,53.0,6.9,,,,,
,Li,6.0,Ca,94.0,,,,,,,,,,,,,,,Impregnation,744,0.64,0.08,8.0,1.0,1.05,99.0,13.0,,24.0,38.0,62.0,8.1,,,,,
,K,62.0,Ca,38.0,,,,,,,,,,,,,,,Impregnation,743,0.64,0.08,8.0,1.0,0.38,86.0,10.0,,14.0,40.0,54.0,5.4,,,,,
,Na,3.6,Ca,94.6,,,,,S,1.8,,,,,,,,,Impregnation,745,0.65,0.08,8.1,1.0,0.25,92.0,16.0,,26.0,45.0,71.0,11.4,,,,,
,Li,5.8,Ca,94.2,,,,,,,,,,,,,,,Impregnation,754,0.67,0.07,9.6,1.0,0.50,97.0,14.0,,24.0,40.0,64.0,9.0,,,,,
,Na,9.8,Ca,85.3,,,,,C,4.9,,,,,,,,,Impregnation,743,0.67,0.07,9.6,1.0,0.49,98.0,13.0,,20.0,41.0,61.0,7.9,,,,,
,K,12.0,Ca,82.0,,,,,S,6.0,,,,,,,,,Impregnation,758,0.65,0.08,8.1,1.0,0.42,93.0,14.0,,24.0,42.0,66.0,9.2,,,,,
,K,8.0,Ca,92.0,,,,,,,,,,,,,,,Impregnation,783,0.66,0.08,8.3,1.0,0.47,93.0,11.0,,18.0,37.0,55.0,6.1,,,,,
,Na,7.0,Ca,93.0,,,,,,,,,,,,,,,Impregnation,753,0.64,0.08,8.0,1.0,0.47,95.0,10.0,,16.0,36.0,52.0,5.2,,,,,
,K,13.0,Ca,80.5,,,,,C,6.5,,,,,,,,,Impregnation,749,0.64,0.08,8.0,1.0,0.48,94.0,10.0,,13.0,33.0,46.0,4.6,,,,,
,Li,5.4,Ca,91.9,,,,,S,2.7,,,,,,,,,Impregnation,757,0.65,0.08,8.1,1.0,0.90,98.0,14.0,,32.0,34.0,66.0,9.2,,,,,
,Al,100.0,,,,,,,,,,,,,,,,,Therm.decomp.,752,0.67,0.07,9.6,1.0,1.10,99.0,11.0,,14.0,31.0,45.0,5.0,,,,,
,Na,36.0,Al,46.0,,,,,S,18.0,,,,,,,,,Impregnation,745,0.67,0.07,9.6,1.0,1.92,93.0,11.0,,19.0,36.0,55.0,6.1,,,,,
,Li,13.0,Al,87.0,,,,,,,,,,,,,,,Impregnation,751,0.65,0.08,8.1,1.0,6.88,100.0,11.0,,24.0,26.0,50.0,5.5,,,,,
5,Na,3.8,Mn,3.8,Mg,92.40,,,,,,,,,,,,,Therm.decomp.,1123,0.68,0.33,2.0,1.0,6.00,,14.2,,,,81.8,11.6,,,,,
,Na,3.8,Mn,3.8,Mg,85.40,,,,,,,,Si,7.0,,,,Therm.decomp.,1123,0.68,0.33,2.0,1.0,6.00,,20.5,,,,65.6,13.4,,,,,
6,Si,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.91,0.09,9.6,1.0,3.00,98.0,12.0,,51.0,5.0,56.0,6.7,,,,,
,Al,100.0,,,,,,,,,,,,,,,,,n.a.,1218,0.96,0.04,24.0,1.0,2.10,57.0,3.9,,25.0,37.0,62.0,2.4,,,,,
,Al,2.0,Zr,98.0,,,,,,,,,,,,,,,n.a.,1173,0.91,0.09,9.6,1.0,3.00,98.0,8.0,,4.0,0.0,4.0,0.3,,,,,
,K,1.0,Si,98.0,,,,,Br,1.0,,,,,,,,,n.a.,1173,0.91,0.09,9.6,1.0,3.00,98.0,16.0,,48.0,6.0,54.0,8.6,,,,,
,Al,6.3,Mg,6.3,,,,,B,87.4,,,,,,,,,n.a.,1119,0.96,0.04,24.0,1.0,3.20,38.0,3.2,,10.5,28.2,38.7,1.2,,,,,
,Pb,20.0,,,,,,,,,,,,Al,80.0,,,,n.a.,1030,0.96,0.05,19.2,1.0,0.40,100.0,6.8,,17.6,32.8,50.4,3.4,,,,,
,Pb,20.0,,,,,,,,,,,,Si,80.0,,,,n.a.,1103,0.96,0.05,19.2,1.0,0.55,44.1,18.7,,18.7,20.5,39.2,7.3,,,,,
,Na,2.0,Pb,20.0,,,,,,,,,,Si,78.0,,,,n.a.,1128,0.96,0.05,19.2,1.0,1.00,98.9,7.8,,42.1,38.3,80.4,6.3,,,,,
,Na,5.0,Pb,20.0,,,,,,,,,,Si,75.0,,,,n.a.,1062,0.97,0.03,32.3,1.0,2.10,99.4,9.5,,27.3,8.8,36.1,3.4,,,,,
,Mg,1.5,Pb,20.0,,,,,,,,,,Si,78.5,,,,n.a.,1062,0.97,0.03,32.3,1.0,2.10,99.5,3.6,,10.9,19.1,30.0,1.1,,,,,
,Pb,20.0,,,,,,,S,20.0,,,,Si,60.0,,,,n.a.,1123,0.97,0.03,32.3,1.0,1.20,94.2,7.3,,32.9,47.6,80.5,5.9,,,,,
,Pb,20.0,W,20.0,,,,,,,,,,Si,60.0,,,,n.a.,1123,0.97,0.03,32.3,1.0,1.20,99.1,7.3,,5.4,21.4,26.8,2.0,,,,,
,Pb,20.0,Mo,20.0,,,,,,,,,,Si,60.0,,,,n.a.,1123,0.97,0.03,32.3,1.0,1.20,99.4,3.6,,2.6,24.6,27.2,1.0,,,,,
7,Mg,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.30,0.05,6.0,1.0,0.10,100.0,18.1,,32.1,17.9,61.8,11.2,,,,,
,Ca,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,15.3,,15.1,26.1,62.8,9.6,,,,,
