Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Cs,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,68.0,8.5,,22.0,18.0,40.0,3.4,,,,,
,Cs,10.0,Mg,80.0,,,,,Cl,10.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,70.0,10.2,,22.0,18.0,40.0,4.1,,,,,
,Cs,20.0,Mg,60.0,,,,,Cl,20.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,71.0,11.2,,23.0,19.0,42.0,4.7,,,,,
,Li,1.0,Na,1.0,Mg,96.00,,,Cl,2.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,70.0,12.8,,46.0,22.0,68.0,8.7,,,,,
,Li,5.0,Na,5.0,Mg,80.00,,,Cl,10.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,82.0,22.4,,51.0,27.0,78.0,17.5,,,,,
,Li,10.0,Na,10.0,Mg,60.00,,,Cl,20.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,85.0,21.5,,52.0,28.0,80.0,17.2,,,,,
,Li,20.0,Na,20.0,Mg,20.00,,,Cl,40.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,86.0,19.0,,39.0,22.0,61.0,11.6,,,,,
,Li,1.0,Cs,1.0,Mg,96.00,,,Cl,2.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,72.0,13.2,,49.0,20.0,69.0,9.1,,,,,
,Li,5.0,Cs,5.0,Mg,80.00,,,Cl,10.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,85.0,22.8,,53.0,28.0,81.0,18.5,,,,,
,Li,10.0,Cs,10.0,Mg,60.00,,,Cl,20.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,86.0,22.0,,52.0,27.0,79.0,17.4,,,,,
,Li,20.0,Cs,20.0,Mg,20.00,,,Cl,40.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,88.0,19.2,,42.0,21.0,63.0,12.1,,,,,
,Na,1.0,Cs,1.0,Mg,96.00,,,Cl,2.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,71.0,14.5,,44.0,23.0,67.0,9.7,,,,,
,Na,5.0,Cs,5.0,Mg,80.00,,,Cl,10.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,85.0,23.6,,57.0,26.0,83.0,19.6,,,,,
,Na,10.0,Cs,10.0,Mg,60.00,,,Cl,20.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,88.0,24.8,,55.0,25.0,80.0,19.8,,,,,
,Na,20.0,Cs,20.0,Mg,20.00,,,Cl,40.0,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24,90.0,20.0,,43.0,21.0,64.0,12.8,,,,,
242,Li,50.0,Y,50.0,,,,,,,,,,,,,,,Therm.decomp.,1000,0.18,0.03,6.0,1.0,1.60,90.0,27.0,,26.0,38.0,64.0,17.3,,,,,
243,Gd,50.0,Ti,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,30.0,,,,6.2,1.9,,,,,
,Gd,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,28.0,,,,15.6,4.4,,,,,
,Gd,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,35.0,,,,42.8,15.0,,,,,
,Ho,50.0,Ti,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,30.0,,,,0.0,0.0,,,,,
,Ho,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,30.0,,,,26.2,7.9,,,,,
,Sm,50.0,Ti,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,28.0,,,,10.0,2.8,,,,,
,Sm,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,32.0,,,,22.1,7.1,,,,,
,Sm,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,40.0,,,,48.8,19.5,,,,,
,Y,50.0,Ti,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,30.0,,,,3.4,1.0,,,,,
,Y,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,35.0,,,,45.3,15.9,,,,,
,Eu,50.0,Ti,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,27.0,,,,8.7,2.3,,,,,
,Eu,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,29.0,,,,23.7,6.9,,,,,
,Eu,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,33.0,,,,41.3,13.6,,,,,
,Dy,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,29.0,,,,16.0,4.6,,,,,
,Nd,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,32.0,,,,10.8,3.5,,,,,
,Nd,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,35.0,,,,43.6,15.3,,,,,
,La,50.0,Zr,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,33.0,,,,33.6,11.1,,,,,
,La,50.0,Sn,50.0,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80,,35.0,,,,42.8,15.0,,,,,
244,Li,15.0,Na,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,0.5,,,,50.0,0.3,,,,,
,Li,15.0,K,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,1.0,,,,81.0,0.8,,,,,
,Li,15.0,Rb,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,1.5,,,,30.0,0.5,,,,,
,Li,15.0,Cs,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,9.0,,,,24.0,2.2,,,,,
,Na,15.0,K,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,1.0,,,,46.0,0.5,,,,,
,Na,15.0,Rb,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,0.5,,,,65.0,0.3,,,,,
,Na,15.0,Cs,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,2.0,,,,25.0,0.5,,,,,
,K,15.0,Rb,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,0.5,,,,15.0,0.1,,,,,
,K,15.0,Cs,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,1.0,,,,18.0,0.2,,,,,
,Rb,15.0,Cs,15.0,,,,,,,,,,Si,70.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,1.0,,,,16.0,0.2,,,,,
,Mg,8.0,Ca,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,7.0,,,,17.0,1.2,,,,,
,Mg,8.0,Sr,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,11.0,,,,19.0,2.1,,,,,
,Mg,8.0,Ba,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,7.5,,,,12.0,0.9,,,,,
,Ca,8.0,Sr,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,8.5,,,,17.0,1.4,,,,,
,Ca,8.0,Ba,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,7.0,,,,19.0,1.3,,,,,
,Sr,8.0,Ba,8.0,,,,,,,,,,Si,84.0,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00,,6.5,,,,20.0,1.3,,,,,
245,Ca,60.2,,,,,,,P,39.8,,,,,,,,48.9,Therm.decomp.,973,0.29,0.05,6.0,1.0,1.20,93.0,9.0,,3.6,5.1,8.7,0.8,,,,,
,Pb,9.1,Ca,54.7,,,,,P,36.2,,,,,,,,150.9,Therm.decomp.,973,0.29,0.07,4.3,1.0,1.20,63.0,17.1,,31.3,37.8,69.1,11.8,,,,,
,Ca,60.0,,,,,,,P,40.0,,,,,,,,44.3,Therm.decomp.,973,0.29,0.04,6.7,1.0,1.20,41.0,4.4,,1.3,6.0,7.3,0.3,,,,,
,Pb,4.3,Mg,95.7,,,,,,,,,,,,,,104.7,Therm.decomp.,973,0.29,0.04,6.9,1.0,0.20,72.0,6.7,,4.9,26.2,31.1,2.1,,,,,
,Pb,9.0,Ca,77.9,,,,,P,13.1,,,,,,,,191.0,Therm.decomp.,973,0.29,0.04,7.1,1.0,0.20,42.0,4.5,,5.7,34.7,40.4,1.8,,,,,
246,Mg,100.0,,,,,,,,,,,,,,,,5.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,52.0,5.8,71.0,8.0,21.0,29.0,1.7,,,,,
,Li,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,68.0,10.4,53.0,31.0,16.0,47.0,4.9,,,,,
,Na,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,65.0,12.0,51.0,34.0,15.0,49.0,5.9,,,,,
,K,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,64.0,7.0,62.0,20.0,18.0,38.0,2.7,,,,,
,Rb,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,65.0,6.0,65.0,21.0,14.0,35.0,2.1,,,,,
,Cs,5.0,Mg,90.0,,,,,Cl,5.0,,,,,,,,97.5,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,70.0,10.2,59.0,22.0,18.0,40.0,4.1,,,,,
,Li,2.5,Na,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,82.0,22.4,22.0,51.0,27.0,78.0,17.5,,,,,
,Li,2.5,K,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,81.0,16.0,32.0,43.0,25.0,68.0,10.9,,,,,
,Li,2.5,Rb,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,82.0,14.2,40.0,39.0,21.0,60.0,8.5,,,,,
,Li,2.5,Cs,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,85.0,22.8,19.0,53.0,28.0,81.0,18.5,,,,,
,Na,2.5,K,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,80.0,17.0,35.0,43.0,22.0,65.0,11.1,,,,,
,Na,2.5,Rb,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,84.0,14.2,43.0,37.0,20.0,57.0,8.1,,,,,
,Na,2.5,Cs,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,85.0,23.8,17.0,57.0,26.0,83.0,19.8,,,,,
,K,2.5,Rb,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,80.0,14.5,44.0,37.0,19.0,56.0,8.1,,,,,
,K,2.5,Cs,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,100.0,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,85.0,14.6,41.0,40.0,19.0,59.0,8.6,,,,,
,Rb,2.5,Cs,2.5,Mg,90.00,,,Cl,5.0,,,,,,,,122.5,sol-gel,1023,0.81,0.20,4.0,1.0,0.24,84.0,14.0,43.0,39.0,18.0,57.0,8.0,,,,,
247,Mo,25.0,Na,75.0,,,,,,,,,,,,,,91.7,n.a.,1003,0.25,0.28,0.9,1.0,2.40,90.0,22.0,,,,15.0,3.3,,,,,
,Mo,16.7,Na,58.3,,,,,Cl,25.0,,,,,,,,100.0,n.a.,1003,0.25,0.28,0.9,1.0,2.40,90.0,19.0,,,,23.0,4.4,,,,,
,Mo,16.7,Na,25.0,Li,33.30,,,Cl,25.0,,,,,,,,133.3,n.a.,1003,0.25,0.28,0.9,1.0,2.40,90.0,17.0,,,,18.0,3.1,,,,,
248,Ba,50.0,Ti,50.0,,,,,,,,,,,,,,66.7,Therm.decomp.,973,0.40,0.10,4.0,1.0,0.24,,7.8,41.1,13.5,45.4,58.9,4.6,,,,,
,Ba,16.7,Ti,50.0,,,,,F,33.3,,,,,,,,183.3,Therm.decomp.,973,0.40,0.10,4.0,1.0,0.24,,28.1,39.4,36.7,24.0,60.7,17.1,,,,,
249,Zr,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,973,0.38,0.13,3.0,1.0,0.24,,26.0,84.0,,,16.1,4.2,,,,,
,Ce,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,773,0.38,0.13,3.0,1.0,0.24,,21.1,98.1,,,1.9,0.4,,,,,
,Th,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,1123,0.38,0.13,3.0,1.0,0.24,,24.0,68.0,,,32.0,7.7,,,,,
,La,100.0,,,,,,,,,,,,,,,,33.3,Therm.decomp.,923,0.38,0.13,3.0,1.0,0.24,,6.8,,,,12.1,0.8,,,,,
,Zr,33.3,La,16.7,,,,,F,50.0,,,,,,,,100.0,Therm.decomp.,923,0.38,0.13,3.0,1.0,0.24,,27.1,47.8,,,52.2,14.1,,,,,
,Ce,33.3,La,16.7,,,,,F,50.0,,,,,,,,86.7,Therm.decomp.,823,0.38,0.13,3.0,1.0,0.24,,28.8,49.6,,,50.4,14.5,,,,,
,Ce,20.0,La,20.0,,,,,F,60.0,,,,,,,,113.3,Therm.decomp.,873,0.38,0.13,3.0,1.0,0.24,,28.9,51.4,,,48.2,13.9,,,,,
,Th,33.3,La,16.7,,,,,F,50.0,,,,,,,,86.7,Therm.decomp.,823,0.38,0.13,3.0,1.0,0.24,,29.6,55.6,,,44.5,13.2,,,,,
,Th,20.0,La,20.0,,,,,F,60.0,,,,,,,,#VALUE!,Therm.decomp.,773,0.38,0.13,3.0,1.0,0.24,,30.8,54.0,,,45.6,14.0,,,,,
250,Si,100.0,,,,,,,,,,,,,,,,2.1,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10,,0.6,,,,90.1,0.5,,,,,
,Mn,2.1,,,,,,,,,,,,Si,97.9,,,99.2,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10,,16.4,,,,34.3,5.6,,,,,
,W,1.3,Na,21.3,,,,,,,,,,Si,77.4,,,100.4,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10,,12.3,,,,74.3,9.1,,,,,
,Mn,1.7,W,1.3,Na,20.00,,,,,,,,Si,77.0,,,#VALUE!,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10,,36.8,,,,64.9,23.9,,,,,
251,Ca,100.0,,,,,,,,,,,,,,,,,n.a.,1073,0.90,0.10,9.0,1.0,0.60,98.0,11.9,,,,55.1,6.6,,,,,
,Ca,50.0,,,,,,,C,50.0,,,,,,,,,n.a.,1073,0.90,0.10,9.0,1.0,0.60,98.9,10.7,,,,60.8,6.5,,,,,
252,Zn,50.0,,,,,,,S,50.0,,,,,,,,,n.a.,1073,0.60,0.00,600.0,1.0,0.24,,1.4,,0.0,100.0,100.0,1.4,,,,,
253,Y,25.0,Ba,50.0,,,,,,,,,,Al,25.0,,,,Sol-gel,1123,0.30,0.06,5.0,1.0,0.02,99.0,21.7,,,,63.0,13.7,,,,,
254,Y,25.4,Ba,38.6,Zr,36.00,,,,,,,,,,,,,Therm.decomp.,1073,0.91,0.09,10.1,1.0,0.05,85.7,14.1,,30.2,43.0,73.2,10.3,,,,,
255,Li,10.0,Mg,20.0,,,,,,,,,,Al,70.0,,,,Therm.decomp.,1048,0.90,0.10,9.0,1.0,0.85,,21.0,,80.0,15.0,95.0,20.0,,,,,
,Li,10.0,Mo,5.0,Mg,15.00,,,,,,,,Al,70.0,,,,Therm.decomp.,1048,0.90,0.10,9.0,1.0,0.40,,40.0,,60.0,35.0,95.0,38.0,,,,,
256,Li,19.0,Ti,81.0,,,,,,,,,,,,,,181.0,Therm.decomp.,1173,0.50,0.16,3.1,1.0,0.25,90.0,12.0,,,,70.0,8.4,,,,,
257,Al,100.0,,,,,,,,,,,,,,,,9.5,Impregnation,1023,0.40,0.04,10.9,1.0,311785.00,,1.5,69.5,6.1,24.6,30.7,0.5,,,,,
,Pb,9.5,,,,,,,,,,,,Al,90.5,,,95.6,Impregnation,1023,0.40,0.04,10.9,1.0,311785.00,,4.5,50.3,9.2,39.3,48.5,2.2,,,,,
,Pb,5.1,Na,12.2,,,,,,,,,,Al,82.7,,,111.6,Impregnation,1023,0.40,0.04,10.9,1.0,311785.00,,6.2,41.7,10.2,41.2,51.4,3.2,,,,,
258,Si,16.7,Sr,83.3,,,,,,,,,,,,,,183.3,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,89.0,10.2,,,,79.0,8.1,,,,,
,Ba,100.0,,,,,,,,,,,,,,,,44.4,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,80.0,9.9,,,,78.0,7.7,,,,,
,Al,44.4,Ba,55.6,,,,,,,,,,,,,,92.6,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,95.0,10.5,3.0,27.0,,84.0,8.8,,,,,
,Sr,37.0,Mg,63.0,,,,,,,,,,,,,,87.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.3,4.0,31.0,,83.0,8.5,,,,,
,Ba,24.0,Mg,76.0,,,,,,,,,,,,,,77.4,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,99.0,10.3,3.0,31.0,,83.0,8.5,,,,,
,Li,1.4,Sr,20.0,Mg,78.60,,,,,,,,,,,,100.2,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.0,,,,88.0,8.8,,,,,
,Na,1.6,Sr,20.0,Mg,78.40,,,,,,,,,,,,100.6,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,9.4,,,,89.0,8.4,,,,,
,Al,2.2,Sr,20.0,Mg,77.80,,,,,,,,,,,,98.9,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.2,,,,83.0,8.5,,,,,
,Fe,1.1,Sr,20.0,Mg,78.90,,,,,,,,,,,,101.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,7.8,,,,68.0,5.3,,,,,
,La,2.1,Sr,20.0,Mg,77.90,,,,,,,,,,,,98.1,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.6,,,,85.0,9.0,,,,,
,Zr,.2,Sr,20.0,Mg,79.00,,,Cl,.8,,,,,,,,100.8,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.3,,,,87.0,9.0,,,,,
,Zr,1.0,Sr,20.0,Mg,79.00,,,,,,,,,,,,119.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.2,,,,83.0,8.5,,,,,
,Sr,20.0,Mg,78.0,,,,,P,2.0,,,,,,,,81.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,4.6,,,,72.0,3.3,,,,,
,Nb,1.0,Sr,20.0,Mg,79.00,,,,,,,,,,,,100.1,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.4,,,,88.0,9.2,,,,,
,Mo,1.1,Sr,20.0,Mg,78.90,,,,,,,,,,,,99.7,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,8.0,,,,69.0,5.5,,,,,
,Li,.8,Ba,20.0,Mg,79.20,,,,,,,,,,,,100.8,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.0,,,,86.0,8.6,,,,,
,Na,1.6,Ba,20.0,Mg,78.40,,,,,,,,,,,,100.4,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.0,,,,86.0,8.6,,,,,
,La,2.0,Ba,20.0,Mg,78.00,,,,,,,,,,,,100.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.0,,,,83.0,8.3,,,,,
,Sm,2.0,Ba,20.0,Mg,78.00,,,,,,,,,,,,100.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,100.0,10.2,,,,82.0,8.4,,,,,
,Zr,2.0,Ba,20.0,Mg,78.00,,,,,,,,,,,,148.0,Precipitation,1123,0.95,0.05,19.0,1.0,0.05,96.0,9.1,,,,84.0,7.6,,,,,
259,Ba,50.0,Pr,50.0,,,,,,,,,,,,,,54.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,68.7,20.5,65.6,13.8,20.5,34.3,7.0,,,,,
,Na,4.5,Ba,45.5,Pr,45.50,,,Cl,4.5,,,,,,,,145.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,55.1,26.1,59.4,30.6,22.5,53.1,13.9,,,,,
,Ca,50.0,Pr,50.0,,,,,,,,,,,,,,54.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,99.5,25.3,92.7,3.9,3.4,7.3,1.8,,,,,
,Na,4.5,Ca,45.5,Pr,45.50,,,Cl,4.5,,,,,,,,145.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,94.5,33.3,57.7,34.5,7.7,42.2,14.1,,,,,
,La,50.0,Y,50.0,,,,,,,,,,,,,,54.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,99.3,36.5,73.3,21.1,5.6,26.7,9.7,,,,,
,Na,4.5,La,45.5,Y,45.50,,,Cl,4.5,,,,,,,,145.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,91.9,40.8,49.4,35.9,14.7,50.6,20.6,,,,,
,Na,50.0,Nb,50.0,,,,,,,,,,,,,,95.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,49.0,16.1,59.4,18.1,20.6,38.7,6.2,,,,,
,Nb,45.5,Na,40.9,,,,,Cl,13.6,,,,,,,,104.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,89.8,45.5,54.3,43.0,2.6,45.6,20.7,,,,,
,K,50.0,Nb,50.0,,,,,,,,,,,,,,54.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,22.3,8.5,58.8,13.8,27.4,41.2,3.5,,,,,
,Na,4.5,K,45.5,Nb,45.50,,,Cl,4.5,,,,,,,,145.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,67.2,36.8,53.4,42.9,3.6,46.5,17.1,,,,,
,Pb,50.0,Ti,50.0,,,,,,,,,,,,,,54.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,2.2,0.6,100.0,0.0,0.0,0.0,0.0,,,,,
,Na,4.5,Pb,45.5,Ti,45.50,,,Cl,4.5,,,,,,,,100.0,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,45.8,26.5,34.2,48.5,17.3,65.8,17.4,,,,,
,Na,4.5,Li,45.5,Nb,45.50,,,Cl,4.5,,,,,,,,100.0,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,25.1,16.9,24.0,55.5,20.5,76.0,12.8,,,,,
,Na,4.5,Li,45.5,Ta,45.50,,,Cl,4.5,,,,,,,,100.0,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50,60.5,33.4,37.8,58.4,3.8,62.2,20.8,,,,,
,Na,4.5,Pb,45.5,Ti,45.50,,,Cl,4.5,,,,,,,,102.5,Therm.decomp.,1023,0.10,0.05,2.0,1.0,13.20,,50.7,,,,55.7,28.2,,,,,
260,Na,7.0,Al,42.0,Li,51.00,,,,,,,,,,,,193.0,Therm.decomp.,1123,0.18,0.06,2.9,1.0,0.55,78.9,20.4,45.6,37.5,16.8,54.3,11.1,,,,,
261,La,100.0,,,,,,,,,,,,,,,,50.0,precipitation,1073,0.33,0.07,5.0,1.0,0.03,90.0,26.0,,,,58.0,15.1,,,,,
262,Sr,50.0,Fe,50.0,,,,,,,,,,,,,,70.0,Therm.decomp.,1000,0.84,0.03,25.5,1.0,0.61,95.0,4.0,50.0,15.0,35.0,50.0,2.0,,,,,
,Ca,20.0,Ti,20.0,Co,30.00,Sr,30.00,,,,,,,,,,105.0,Therm.decomp.,1020,0.84,0.03,25.5,1.0,0.61,94.0,12.0,95.0,1.0,4.0,5.0,0.6,,,,,
263,W,25.0,Ba,75.0,,,,,,,,,,,,,,125.0,Therm.decomp.,,0.30,0.15,2.0,1.0,0.06,9.1,4.1,27.9,,,72.1,3.0,,,,,
,Ba,50.0,Ce,50.0,,,,,,,,,,,,,,60.0,Therm.decomp.,,0.30,0.15,2.0,1.0,0.06,94.9,31.5,66.4,,,33.6,10.6,,,,,
,Ce,10.0,W,22.5,Ba,67.50,,,,,,,,,,,,100.0,Therm.decomp.,,0.30,0.15,2.0,1.0,0.06,90.9,38.4,51.1,,,48.9,18.8,,,,,
,Ce,10.0,W,20.0,Ba,70.00,,,,,,,,,,,,110.0,Therm.decomp.,,0.30,0.15,2.0,1.0,0.06,91.7,36.8,54.6,,,45.4,16.7,,,,,
264,La,25.0,,,,,,,F,75.0,,,,,,,,,Therm.decomp.,1023,0.17,0.06,2.6,1.0,0.60,,25.0,,,,50.0,12.5,,,,,
265,Ce,20.0,Ba,26.7,,,,,F,53.3,,,,,,,,86.3,Therm.decomp.,1073,0.73,0.27,2.7,1.0,0.24,,34.0,45.7,34.0,20.3,54.3,18.5,,,,,
,Ru,6.3,Sb,18.7,Bi,25.00,Ba,50.00,,,,,,,,,,106.2,Therm.decomp.,1023,0.67,0.33,2.0,1.0,0.08,,32.2,60.1,26.8,5.5,32.3,10.4,,,,,
,Sb,12.5,Bi,37.5,Ba,50.00,,,,,,,,,,,,100.0,Therm.decomp.,1023,0.67,0.33,2.0,1.0,0.08,,32.4,68.3,23.7,4.4,28.1,9.1,,,,,
